epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
0, 0.5943, 0.5190, 0.5936, 0.5696, 0.5068,  0.6609, 0.6357, 0.6295, 0.6084, 0.5763,  0.6581, 0.6845, 0.6477, 0.6404, 0.6903, 0.6641, 0.5778, 0.6601, 0.5568, 0.6190,  0.2407, 0.0800, 0.1258, 0.1689,  0.2893, 0.0851, 0.1573, 0.2988,  0.0235, 0.0558, 0.0378, 0.0756, 0.0653, 0.1307, 0.0643, 0.1563,  ../results/fairCLIP/gender/5954_seed5954_auc0.6609
0, 0.5369, 0.4866, 0.5310, 0.5310, 0.4023,  0.6420, 0.6262, 0.6151, 0.5838, 0.5075,  0.6571, 0.6350, 0.6388, 0.6227, 0.6666, 0.6460, 0.5462, 0.6436, 0.4574, 0.5631,  0.1299, 0.0516, 0.0156, 0.1043,  0.1368, 0.0713, 0.0310, 0.1082,  0.0150, 0.0344, 0.0341, 0.0683, 0.0777, 0.1555, 0.1188, 0.2900,  ../results/fairCLIP/gender/6961_seed6961_auc0.6420
0, 0.6118, 0.5574, 0.5847, 0.5618, 0.5252,  0.6434, 0.6170, 0.6115, 0.6002, 0.6242,  0.6547, 0.6646, 0.6333, 0.6202, 0.6723, 0.6463, 0.5743, 0.6423, 0.6250, 0.6546,  0.1831, 0.0527, 0.0445, 0.1448,  0.1542, 0.1033, 0.1245, 0.1199,  0.0203, 0.0487, 0.0405, 0.0809, 0.0559, 0.1119, 0.0189, 0.0460,  ../results/fairCLIP/gender/7186_seed7186_auc0.6434
