epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
0, 0.5789, 0.5279, 0.5567, 0.5560, 0.5075,  0.6078, 0.5860, 0.5751, 0.5756, 0.5658,  0.6239, 0.6142, 0.5930, 0.5838, 0.6407, 0.6099, 0.5538, 0.6031, 0.6534, 0.6318,  0.2559, 0.0669, 0.0284, 0.2128,  0.2587, 0.1061, 0.0700, 0.1981,  0.0212, 0.0508, 0.0469, 0.0937, 0.0461, 0.0922, 0.0339, 0.0828,  ../results/fairCLIP/race/7768_seed7768_auc0.6078
0, 0.6102, 0.5313, 0.5816, 0.5989, 0.5438,  0.6666, 0.6185, 0.6263, 0.6073, 0.6346,  0.6982, 0.6942, 0.6481, 0.6394, 0.7037, 0.6705, 0.5729, 0.6646, 0.6619, 0.6228,  0.2521, 0.0723, 0.1092, 0.1154,  0.3354, 0.1253, 0.1190, 0.1311,  0.0341, 0.0751, 0.0482, 0.0965, 0.0732, 0.1464, 0.0286, 0.0626,  ../results/fairCLIP/race/4636_seed4636_auc0.6666
0, 0.5279, 0.4495, 0.5266, 0.4870, 0.3894,  0.6670, 0.6270, 0.6212, 0.6174, 0.6115,  0.6883, 0.6932, 0.6508, 0.6353, 0.7090, 0.6699, 0.5896, 0.6657, 0.6534, 0.5911,  0.1483, 0.0395, 0.0046, 0.0737,  0.1579, 0.0475, 0.0597, 0.1592,  0.0284, 0.0636, 0.0552, 0.1105, 0.0602, 0.1203, 0.0490, 0.1119,  ../results/fairCLIP/race/126_seed126_auc0.6670
