epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
0, 0.5406, 0.4659, 0.5360, 0.5327, 0.4143,  0.6252, 0.5939, 0.6033, 0.5903, 0.5440,  0.6617, 0.6313, 0.6152, 0.6100, 0.6463, 0.6274, 0.5684, 0.6274, 0.5426, 0.5607,  0.1686, 0.0647, 0.0396, 0.0964,  0.1860, 0.0811, 0.0407, 0.1373,  0.0309, 0.0744, 0.0290, 0.0580, 0.0472, 0.0944, 0.0583, 0.1356,  ../results/fairCLIP/ethnicity/7055_seed7055_auc0.6252
0, 0.6389, 0.5866, 0.6234, 0.5718, 0.5811,  0.7056, 0.6658, 0.6658, 0.6255, 0.6176,  0.7319, 0.7264, 0.6928, 0.6789, 0.7387, 0.7104, 0.5823, 0.7065, 0.6250, 0.6446,  0.1535, 0.0229, 0.1397, 0.1385,  0.1183, 0.0547, 0.2493, 0.1328,  0.0244, 0.0553, 0.0424, 0.0848, 0.0908, 0.1816, 0.0492, 0.1154,  ../results/fairCLIP/ethnicity/9677_seed9677_auc0.7056
0, 0.5975, 0.5416, 0.5965, 0.5941, 0.4880,  0.6830, 0.6735, 0.6522, 0.6518, 0.5823,  0.6765, 0.6763, 0.6822, 0.6623, 0.7096, 0.6844, 0.6365, 0.6840, 0.5795, 0.6146,  0.2249, 0.0496, 0.0894, 0.1278,  0.2947, 0.0590, 0.0877, 0.1162,  0.0040, 0.0086, 0.0346, 0.0693, 0.0351, 0.0701, 0.0636, 0.1530,  ../results/fairCLIP/ethnicity/4229_seed4229_auc0.6830
