epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
0, 0.6352, 0.6281, 0.6044, 0.6000, 0.5816,  0.6898, 0.6647, 0.6387, 0.6329, 0.6463,  0.7117, 0.6800, 0.6838, 0.6533, 0.7334, 0.6928, 0.6028, 0.6885, 0.7131, 0.6470,  0.1505, 0.0309, 0.0755, 0.1430,  0.1359, 0.0812, 0.1392, 0.1469,  0.0205, 0.0460, 0.0580, 0.1160, 0.0652, 0.1305, 0.0395, 0.0958,  ../results/CLIP_finetuning/2859_seed2859_auc0.6898
0, 0.6139, 0.5885, 0.5841, 0.5923, 0.5383,  0.6466, 0.6077, 0.6114, 0.6102, 0.5667,  0.6713, 0.6730, 0.6335, 0.6217, 0.6793, 0.6486, 0.5889, 0.6467, 0.5739, 0.5783,  0.1758, 0.0646, 0.1397, 0.1272,  0.1821, 0.1155, 0.1804, 0.1955,  0.0282, 0.0610, 0.0445, 0.0891, 0.0462, 0.0923, 0.0515, 0.1126,  ../results/CLIP_finetuning/2795_seed2795_auc0.6466
0, 0.6267, 0.5766, 0.5997, 0.5893, 0.4930,  0.6725, 0.6613, 0.6423, 0.6217, 0.5981,  0.6781, 0.6692, 0.6645, 0.6524, 0.6993, 0.6751, 0.5934, 0.6725, 0.6307, 0.5901,  0.1915, 0.0295, 0.1015, 0.1561,  0.2296, 0.0711, 0.1797, 0.2203,  0.0084, 0.0201, 0.0349, 0.0698, 0.0607, 0.1214, 0.0501, 0.1226,  ../results/CLIP_finetuning/3231_seed3231_auc0.6725
