epoch, acc, esacc_attr0, esacc_attr1, esacc_attr2, esacc_attr3,  auc, esauc_attr0, esauc_attr1, esauc_attr2, esauc_attr3,  auc_attr0_group0, auc_attr0_group1, auc_attr0_group2, auc_attr1_group0, auc_attr1_group1, auc_attr2_group0, auc_attr2_group1, auc_attr3_group0, auc_attr3_group1, auc_attr3_group2,  dpd_attr0, dpd_attr1, dpd_attr2, dpd_attr3,  eod_attr0, eod_attr1, eod_attr2, eod_attr3,  std_group_disparity_attr0, max_group_disparity_attr0, std_group_disparity_attr1, max_group_disparity_attr1, std_group_disparity_attr2, max_group_disparity_attr2, std_group_disparity_attr3, max_group_disparity_attr3,  path
0, 0.5151, 0.4366, 0.5136, 0.4874, 0.3607,  0.7033, 0.6589, 0.6621, 0.6194, 0.6370,  0.7397, 0.7217, 0.6909, 0.6758, 0.7380, 0.7079, 0.5726, 0.7045, 0.6960, 0.6077,  0.0450, 0.0229, 0.0309, 0.0257,  0.0497, 0.0332, 0.0552, 0.0455,  0.0287, 0.0695, 0.0442, 0.0884, 0.0962, 0.1925, 0.0623, 0.1377,  ../results/fairCLIP/language/85_seed85_auc0.7033
0, 0.5555, 0.4799, 0.5466, 0.5184, 0.4229,  0.6479, 0.6258, 0.6265, 0.6283, 0.5554,  0.6628, 0.6334, 0.6419, 0.6338, 0.6679, 0.6486, 0.6174, 0.6489, 0.5653, 0.5649,  0.1276, 0.0559, 0.0264, 0.0841,  0.1274, 0.0652, 0.0732, 0.2609,  0.0190, 0.0453, 0.0264, 0.0527, 0.0241, 0.0482, 0.0610, 0.1297,  ../results/fairCLIP/language/7917_seed7917_auc0.6479
0, 0.6166, 0.5739, 0.6080, 0.5707, 0.5657,  0.7048, 0.6819, 0.6654, 0.6256, 0.6082,  0.7332, 0.7036, 0.7007, 0.6791, 0.7384, 0.7093, 0.5826, 0.7072, 0.6449, 0.6084,  0.1240, 0.0516, 0.0936, 0.1399,  0.1072, 0.0730, 0.1598, 0.1895,  0.0208, 0.0460, 0.0421, 0.0841, 0.0899, 0.1797, 0.0579, 0.1403,  ../results/fairCLIP/language/6770_seed6770_auc0.7048
